,lat,lon,name,neighbor
269635814,34.0154254,-118.2799369,,"['123280946', '269635815']"
269635815,34.0154538,-118.2800399,,"['269635814', '269635817']"
269635817,34.0154677,-118.2801415,,['269635815']
269635843,34.0157442,-118.2816052,,"['269635895', '6820935942']"
269635895,34.0157036,-118.2815772,,"['269635843', '269635717']"
269635976,34.0112377,-118.2809883,,['4020099350']
269635987,34.0112363,-118.2810562,,['1841849484']
269636332,34.0256674,-118.275072,,"['269636340', '1378231754']"
269636340,34.0254869,-118.274679,,"['2576235246', '269636332', '2576235248']"
269636426,34.0239396,-118.2761994,,"['269635137', '269636427']"
269636427,34.0243955,-118.2758926,,"['269636426', '269636455']"
269636455,34.0248378,-118.2756139,,"['269636427', '7360424709', '855440981']"
269636456,34.0257113,-118.2751052,,"['7360424709', '1614922683']"
269636767,34.0239844,-118.2764847,,"['5555463656', '1614922663']"
269636770,34.0252818,-118.2756078,,"['1614922669', '1614922681']"
269636772,34.0266478,-118.2745854,,"['1614922681', '1614922694']"
269637362,34.0256035,-118.2759003,,"['1378231762', '1614922676']"
269637627,34.0233143,-118.2769469,,"['1614922657', '1931345272']"
269637631,34.0188629,-118.279653,,"['6815813013', '269637632']"
269637632,34.018611,-118.2798118,,"['269637631', '6206425716']"
269637755,34.0162404,-118.2808364,,"['5768963642', '5768963643']"
269637756,34.0156117,-118.280979,,"['5768963643', '5768963647']"
269637757,34.0144592,-118.2811241,,"['5768963648', '2467986535']"
269637758,34.0140352,-118.2811433,,"['1377683421', '2467986535']"
270840039,34.0182986,-118.2977304,,"['123112834', '2193439981']"
348121025,34.0154405,-118.2901197,,"['122670296', '6815190428', '122684539']"
348121864,34.0181764,-118.2823876,,"['6813405282', '348121996', '6813405280', '6813405278']"
348121996,34.0183685,-118.282256,,"['348121864', '6813405275', '4059993475', '6813411585']"
348122195,34.0181787,-118.2820877,,"['6813405282', '4399914021']"
348122196,34.0181629,-118.2819407,,"['4399914021', '348122197']"
348122197,34.0181391,-118.2818242,,"['348122196', '348122198']"
348122198,34.0180824,-118.2816498,,"['348122197', '4015405538']"
348122770,34.015822,-118.2812638,,"['4015405537', '4020099361']"
348122773,34.0142682,-118.2814567,,"['4020099357', '348122788']"
348122788,34.0126999,-118.2815252,,"['348122773', '348122789']"
348122789,34.0123652,-118.2815093,,"['348122788', '348122791']"
348122791,34.0117481,-118.2814398,,"['348122789', '6815812997']"
348122893,34.0126608,-118.2816375,,"['1870783073', '348122895']"
348122895,34.0125725,-118.2816964,,['348122893']
348123012,34.0111237,-118.2820064,,"['4020099340', '1870797772']"
348123159,34.014122,-118.2813721,,"['6815813004', '348123160']"
348123160,34.0137892,-118.2813788,,"['348123159', '4020099351']"
348123342,34.0128459,-118.2814655,,"['4020099346', '4020099351']"
348123344,34.0119274,-118.2815782,,"['4020099346', '1870795193']"
348123482,34.0117276,-118.2807487,,"['6815812998', '269635094', '269635096']"
354062976,34.0212297,-118.2780629,,"['5768963637', '3958766681']"
354063164,34.0172709,-118.2801305,,"['5768963636', '5768963627']"
354063229,34.0165299,-118.280401,,"['354063240', '5768963636']"
354063240,34.0159981,-118.2805492,,"['6815813007', '354063229']"
354063296,34.0171329,-118.2805588,,"['5768963642', '6815813018', '6815813019']"
354063305,34.0152617,-118.2807107,,"['5768963634', '6815813007']"
354063314,34.0146442,-118.2807877,,"['1390092157', '5768963634']"
354063321,34.0139228,-118.2808103,,"['1841853526', '1390092157']"
354063330,34.0131426,-118.2808343,,"['5768963652', '1841853526']"
358786623,34.02286,-118.272,John Adams Middle School,['6817197856']
358791507,34.0319568,-118.2922972,Saint Agnes Elementary School,['3724125231']
358793609,34.0122358,-118.2689631,Trinity Elementary School,['7874191229']
358794109,34.0308482,-118.2926332,Vermont Elementary School,['6807909277']
358826470,34.0258459,-118.2920193,Dockweller Station Los Angeles Post Office,['6510353833']
358826562,34.0216795,-118.2922971,Saint Marks Lutheran Church,['4872896705']
358828789,34.0302903,-118.2903526,Menlo AvenueWest Twentyninth Street Historic District,['6808093910']
358828799,34.031679,-118.2970195,Van Buren Place Historic District,['122659038']
358850006,34.0252904,-118.2970194,Korean Presbyterian Church,['6814958417']
358850010,34.0250128,-118.2831302,Our Saviors Chapel,['123005253']
358850012,34.0139022,-118.2803522,Community of Christ,['269635682']
358850013,34.0216794,-118.2984083,Senshin Buddhist Church,['6805827729']
358850019,34.0111243,-118.2956303,University Seventh Day Adventist Church,['3699276746']
358850041,34.0317879,-118.28474,Divine Providence Convent,['4015442011']
358850043,34.0314014,-118.284797,Divine Providence Kindergarten and Day Nursery,['6812352079']
368172334,34.023442,-118.28643,George Lucas Instructional Building,['4141781780']
368172344,34.0225143,-118.2911925,Sonny Astani School of Civil Engineering,"['6512287152', '4399693646']"
368173251,34.0250129,-118.2753521,Los Angeles,['7360424709']
441891112,34.0181407,-118.2865389,,"['7023424981', '932401855']"
441893332,34.0162354,-118.2738854,,"['4343588869', '123015386']"
441893821,34.0198974,-118.276343,,"['544348508', '123280934']"
441893924,34.0203992,-118.2761501,,"['544348522', '123280934']"
441895335,34.02746,-118.285222,,"['122719255', '441895337']"
441895337,34.0274588,-118.2859102,,"['441895335', '213332111']"
441895675,34.027283,-118.2831447,,"['6813379510', '4399698024']"
441895695,34.0274177,-118.2852636,,"['122719255', '6813360950']"
544348508,34.0196341,-118.276504,,"['6815182444', '441893821']"
544348509,34.0274277,-118.2743795,,"['544348510', '1614922696']"
544348510,34.0276188,-118.2748091,,"['544348509', '2193435055']"
544348520,34.0253849,-118.2728368,,"['3663661786', '3663661788']"
544348521,34.0249513,-118.2732647,,"['4147530482', '6813513568']"
544348522,34.0205414,-118.27609,,"['4012864450', '441893924']"
544671955,34.0242067,-118.2838204,,"['21306061', '6813379429']"
544671962,34.0238374,-118.2839711,,"['21306060', '6813416122']"
544672028,34.0254781,-118.287863,,"['21306059', '6813379482']"
544672064,34.0220639,-118.2915552,,"['6814958397', '6814958399', '6814958395']"
544693739,34.0307024,-118.284003,,"['4015377691', '6816193696']"
544693761,34.0310437,-118.2825118,,"['7477898578', '5690152758']"
592547146,34.0133301,-118.2804887,,['269635727']
601390380,34.0182603,-118.2901248,,"['1732243601', '2193435037']"
604243558,34.0209589,-118.2916276,,"['4015203114', '4015203109']"
604243560,34.0190167,-118.2919712,,['6816819737']
614990288,34.0212898,-118.2824417,Trojan Grounds Starbucks,['5231970323']
732641023,34.0169985,-118.2822768,Chipotle Mexican Grill,['4547476734']
732642214,34.0199998,-118.277186,Parking Center,['4012759746']
855440981,34.024536,-118.2755802,Astor Motel,['269636455']
932378219,34.0140189,-118.2827882,,"['6226313827', '6814990112', '6226313826']"
932401855,34.0181388,-118.2844556,,"['441891112', '4015405541']"
932416162,34.0165219,-118.2827784,,"['6820935911', '4060015482']"
933924387,34.0132206,-118.2912378,,['122684539']
933930930,34.0118505,-118.2885049,,"['1862312582', '1855150091']"
1286136422,34.0222886,-118.2808654,,"['4015423962', '6819179768', '1286136447']"
1286136425,34.0252555,-118.2875888,,"['4015423967', '6813379477']"
1286136428,34.0236723,-118.2840658,,"['6813379464', '6813379468', '6813379465']"
1286136440,34.0254422,-118.2913956,,"['21098539', '6352860083']"
1286136443,34.0223286,-118.2810505,,"['4399697646', '6819179768']"
1286136447,34.0224127,-118.2809785,,"['1286136422', '4015423963']"
1286136450,34.0250614,-118.2871115,,"['6818390139', '6818390142', '6818390138']"
1286136452,34.0229252,-118.2823772,,"['6813379461', '6813379462', '6813379459']"
1286136455,34.0255579,-118.29139,,"['4015423971', '21098539']"
1286136465,34.0254356,-118.2881977,,"['6808200832', '1286136467']"
1286136467,34.0253789,-118.2879053,,"['1286136465', '4015423967']"
1347103229,34.011239,-118.280906,,['1347103237']
1347103237,34.0118125,-118.2808698,,"['1347103229', '5768963652']"
1377683328,34.0198207,-118.2788601,,"['5768963622', '6815813011']"
1377683421,34.0136975,-118.2811485,,"['5768963651', '269637758']"
1377683422,34.0201105,-118.2787785,,"['3194655794', '6815813013']"
1377766078,34.0174456,-118.2802434,,"['269633572', '5541778221']"
1378231748,34.0244468,-118.2766151,,"['214470964', '1378231752']"
1378231752,34.0244728,-118.2766886,,"['1378231748', '2193435026']"
1378231753,34.0212984,-118.2786313,,"['123292100', '2193435032']"
1378231754,34.025939,-118.2756663,,"['269636332', '1378231765']"
1378231760,34.0290275,-118.2737864,,"['4835549608', '4060116191']"
1378231762,34.0257251,-118.2759015,,"['2193435072', '269637362']"
1378231765,34.0259684,-118.2757258,,"['2193435018', '1378231754']"
1378231766,34.0301216,-118.2729175,,"['6208583954', '2193435046']"
1390092157,34.0144362,-118.2807827,,"['6815813006', '354063314', '354063321']"
1390092164,34.015062,-118.2806929,,"['6815813006', '5768963633']"
1400581338,34.0289129,-118.2744855,,"['1613487076', '50781917']"
1400581339,34.0279417,-118.2745568,,"['50781917', '214470857']"
1400581340,34.0261798,-118.2750429,,"['269635140', '3194655793']"
1400581341,34.0275704,-118.2744387,,"['29477080', '1400581342']"
1400581342,34.0283171,-118.2743071,,"['1400581341', '1400581343']"
1400581343,34.0287719,-118.2742761,,"['1400581342', '29477081']"
1472141002,34.0154848,-118.2916682,,"['122670230', '122670232']"
1472141024,34.017812,-118.2826475,,"['6813411590', '6813405280', '4015372462']"
1473199412,34.0250306,-118.2937696,,"['4583263530', '123660671']"
1473199417,34.0250421,-118.2948681,,"['213332069', '123706436']"
1473199418,34.0199479,-118.2928234,,"['6792034226', '123587177']"
1473199420,34.0250465,-118.2959003,,"['7537074281', '6814958416']"
1473199422,34.0194973,-118.2944306,,"['123587177', '122602810']"
1473199425,34.0231255,-118.2934606,,"['4583266233', '122827893']"
1473199427,34.0194893,-118.2977235,,"['123587178', '122602812']"
1473199433,34.0210267,-118.294416,,"['122779111', '122779114']"
1473199438,34.0204468,-118.2944327,,"['1771091137', '123587177']"
1613487057,34.0112328,-118.2812878,,['5768963649']
1613487058,34.0218216,-118.2773567,,"['5768963620', '269635440', '5768963623']"
1613487066,34.0241485,-118.2762121,,"['269635137', '269635139']"
1613487073,34.0307243,-118.2743807,,"['29477081', '6816179453']"
1613487076,34.0311628,-118.2745937,,"['1400581338', '6816179454']"
1614655424,34.0319442,-118.2749814,,['6816179446']
1614922612,34.0179288,-118.2798377,,"['5768963627', '5768963628']"
1614922617,34.0186526,-118.2788418,,"['1837202710', '4399914035']"
1614922622,34.0187686,-118.278859,,"['4399914035', '4399914042']"
1614922624,34.018885,-118.2788481,,"['4399914042', '4399914043']"
1614922625,34.0191831,-118.2791923,,"['5768963628', '6815813011']"
1614922626,34.0192285,-118.2786924,,"['4399914044', '1614922628']"
1614922628,34.0198037,-118.2784035,,"['1614922626', '269635411']"
1614922629,34.0211545,-118.2785679,,"['269633240', '1614922630']"
1614922630,34.0213723,-118.2783947,,"['1614922629', '1614922635']"
1614922631,34.0211952,-118.2779827,,"['5768963622', '1614922636']"
1614922635,34.0219011,-118.2779411,,"['269633216', '1614922630']"
1614922636,34.0220202,-118.2774872,,"['1614922631', '1931345270']"
1614922637,34.0220524,-118.2775777,,"['5768963637', '1931345272']"
1614922657,34.0240934,-118.2766331,,"['1614922667', '269637627']"
1614922663,34.0245398,-118.276209,,"['1614922669', '269636767']"
1614922667,34.0246878,-118.2763733,,"['1614922671', '1614922657']"
1614922669,34.0248928,-118.275938,,"['1614922663', '269636770']"
1614922671,34.0249779,-118.2762171,,"['1614922672', '1614922667']"
1614922672,34.0252967,-118.2759944,,"['1614922674', '1614922671']"
1614922674,34.0254046,-118.2759452,,"['1614922676', '1614922672']"
1614922676,34.0255053,-118.2759105,,"['269637362', '1614922674']"
1614922681,34.0259272,-118.2750956,,"['269636770', '269636772']"
1614922683,34.0260418,-118.2748756,,"['269636456', '1614922687']"
1614922687,34.0264571,-118.2745596,,"['1614922683', '1614922692']"
1614922692,34.0271641,-118.2740935,,"['1614922687', '1614922696']"
1614922694,34.0272106,-118.2742108,,"['269636772', '1614922696']"
1614922696,34.0273002,-118.2741019,,"['1614922692', '1614922694', '544348509', '123292076']"
1614922718,34.0310851,-118.2749725,,"['6816179446', '5680945550', '1771004866', '6816179448']"
1630933288,34.0173511,-118.2901255,,"['6813379583', '7424581964']"
1630944609,34.0110576,-118.2864475,,"['1855145672', '1855145673']"
1673648297,34.0231349,-118.2828654,,"['1673648390', '4015423964']"
1673648390,34.0232514,-118.2831334,,"['6813379426', '1673648297']"
1716288017,34.0164066,-118.2740524,,"['4343588868', '4343588869', '4343588871', '4343588870', '4343588867']"
1716288068,34.0120749,-118.274034,,"['7238292629', '4343588866', '122634395']"
1716461276,34.0135865,-118.2652583,,"['1773954274', '6816692982', '1716461393']"
1716461290,34.0119572,-118.2652609,,"['4015486530', '6807505433']"
1716461314,34.0153534,-118.2652715,,"['4015486538', '1790748059', '4015486537', '4015486539', '1790748062']"
1716461348,34.0127642,-118.2652656,,"['6807505433', '6792962336']"
1716461393,34.0137493,-118.2652547,,"['67666219', '1716461276', '1716461476']"
1716461424,34.0110547,-118.2652492,,"['4015486530', '4019323627', '4025085214']"
1716461476,34.0143047,-118.2652554,,"['4015486535', '1716461393']"
1732243544,34.0188591,-118.2819566,,"['6819179749', '6813405275']"
1732243549,34.0157486,-118.2827774,,"['6820972449', '6820972448', '6820972451', '6820972450']"
1732243576,34.0204062,-118.2809706,,"['6813379548', '4015372478', '4015372477']"
1732243580,34.0154622,-118.2775919,,"['6819170153', '4015477536', '123254978']"
1732243590,34.0149384,-118.2764587,,"['122619500', '7883961993', '4015477531', '4015477529']"
1732243601,34.0183314,-118.2901256,,"['7217510383', '4015405546', '601390380']"
1732243620,34.0196603,-118.2815248,,"['4015372475', '4015372469']"
1732243631,34.0165228,-118.2754708,,"['6807583648', '1732243772', '6816305550', '4015477535']"
1732243668,34.018326,-118.2890038,,"['7023430190', '4015405546']"
1732243673,34.0183237,-118.2865387,,"['7023424980', '7023430190', '6474130386']"
1732243679,34.0119865,-118.278347,,"['1837206592', '4015477525', '4015477523']"
1732243772,34.016976,-118.2766249,,"['1732243631', '123254974', '4012792178']"
1732243887,34.0152536,-118.2748072,,"['1773954289', '4015477532', '122619500']"
1732340059,34.0274231,-118.2716739,,"['3663661791', '6807381246', '4012541085']"
1732340067,34.0284918,-118.2747744,,"['6816193807', '4400460727']"
1732340069,34.012071,-118.2767966,,"['6790463796', '122619506', '4015477524', '122670273']"
1732340070,34.0233688,-118.2742429,,"['122719195', '4012864452', '4012864451', '6819288803']"
1732340071,34.0296893,-118.2719698,,"['1738419620', '1732340089']"
1732340074,34.0210554,-118.2739956,,"['1732340091', '6807934445', '21302781', '123254964']"
1732340075,34.0280766,-118.2746096,,"['4011837234', '4400460720']"
1732340077,34.0279505,-118.2747493,,"['6208583968', '4400460720']"
1732340079,34.0291832,-118.2705643,,"['3663661794', '5680945546', '6816288735', '3663661793']"
1732340086,34.0224616,-118.2748394,,"['6819288800', '214470806', '123281101']"
1732340089,34.0294591,-118.2714467,,"['6805686613', '1732340071']"
1732340091,34.0205513,-118.2728845,,"['33078886', '1732340074', '123672756', '123268491']"
1732340094,34.0293073,-118.270949,,"['3663661794', '6805686613']"
1732340096,34.0284826,-118.2741592,,"['4400460722', '4400460725']"
1732340098,34.0283216,-118.2711155,,"['3663661792', '4012541086', '4012541085']"
1738419610,34.0312838,-118.2644559,,"['72092084', '7137906862']"
1738419613,34.0313211,-118.2658377,,"['63785441', '4011837238']"
1738419615,34.0305074,-118.2697206,,"['1738419616', '6816288746']"
1738419616,34.0305742,-118.2696782,,"['1738419615', '4012541088']"
1738419620,34.0298122,-118.2722407,,"['1732340071', '6208583954']"
1738419621,34.0310728,-118.264645,,"['1866577831', '72092084']"
1738429784,34.0169151,-118.2741111,,"['33078883', '122619489']"
1758031815,34.0147159,-118.2704925,,"['250768851', '123153849']"
1758031816,34.0146644,-118.2694443,,"['250768852', '123732661']"
1759017530,34.0118217,-118.2823019,Subway,['1855150081']
1771004834,34.0273194,-118.2959206,,"['1771004860', '2613117880', '122719273']"
1771004841,34.0313261,-118.2753105,,"['6816179448', '6807274422']"
1771004860,34.027315,-118.2964006,,"['1771004834', '122719048']"
1771004866,34.0309872,-118.2748129,,"['1614922718', '1832234143']"
1771091137,34.0207571,-118.2944334,,"['122779114', '1473199438']"
1771091141,34.0227617,-118.2974217,,"['122827894', '6805054066']"
1771091177,34.0236907,-118.2960065,,"['6814958412', '122845013']"
1773954241,34.0111241,-118.2742932,,"['4343588864', '6455606408']"
1773954266,34.0111268,-118.2738105,,"['4343588865', '4019292085']"
1773954274,34.013593,-118.2649692,,['1716461276']
1773954289,34.0153404,-118.2749995,,"['1732243887', '6820982914']"
1773954300,34.0177372,-118.2716002,Jefferson,['6804831755']
1773954303,34.0134372,-118.2663426,,"['1790748067', '7281805569']"
1773954366,34.0112719,-118.2663484,,"['7281805569', '123316793']"
1773954380,34.0145109,-118.2701021,,"['123153849', '122634403']"
1773954382,34.0148928,-118.2737675,,"['33078880', '6471706816']"
1778692816,34.031513,-118.2657026,,"['63785441', '72092213']"
1778692851,34.0319804,-118.2667404,,['1873055988']
1781230449,34.0181401,-118.2835892,,"['6820935897', '4015405542']"
1781230450,34.018321,-118.2835885,,"['6820935898', '4015405549']"
1790748057,34.0144944,-118.2658185,,"['6804768783', '7071968735', '1790748059']"
1790748059,34.0148636,-118.2655904,,"['1790748060', '1716461314', '1790748057']"
1790748060,34.0149194,-118.265511,,"['1790748059', '1790748077']"
1790748062,34.0149594,-118.265266,,"['1790748081', '4015486536', '1716461314']"
1790748064,34.0161706,-118.264589,,"['1790748073', '6807935213']"
1790748067,34.0135308,-118.2664465,,"['6807505436', '67666219', '1773954303']"
1790748069,34.0162331,-118.2648543,,"['123715918', '1790748073']"
1790748072,34.0169332,-118.2642659,,"['122993646', '2556547828', '1790748080']"
1790748073,34.0162087,-118.2647271,,"['1790748069', '1790748064', '4015486539', '2556547828']"
1790748077,34.0149506,-118.265452,,"['1790748060', '1790748081']"
1790748080,34.0170848,-118.2641694,,['1790748072']
1790748081,34.0149569,-118.2653895,,"['1790748077', '1790748062']"
1832234138,34.0294421,-118.2752163,,"['6816193812', '6816193811', '3438433459']"
1832234140,34.0300878,-118.2747445,,"['1832234145', '122454250']"
1832234141,34.031027,-118.2741879,,"['4258846991', '6817111153']"
1832234142,34.0307527,-118.2743607,,"['4258846991', '6816193810', '1832234145', '1832234143', '6816179450']"
1832234143,34.0308273,-118.2745278,,"['1832234142', '1771004866']"
1832234144,34.0302604,-118.2747853,,"['6816193810', '122454252']"
1832234145,34.0306499,-118.2743913,,"['1832234140', '1832234142']"
1832241494,34.0110465,-118.286766,,"['1855145671', '1855145672']"
1836105028,34.0153104,-118.2827737,,"['122436252', '4060015481']"
1837202706,34.0188287,-118.2787846,,"['4399914040', '123292047']"
1837202707,34.0183819,-118.2787376,,"['4399914025', '1837202710']"
1837202708,34.0181899,-118.2787517,,"['4399914020', '4399914022']"
1837202709,34.018439,-118.2790127,,"['4399914029', '1837202712']"
1837202710,34.0185619,-118.278809,,"['1837202707', '1614922617', '1837202714']"
1837202711,34.0183302,-118.278814,,"['4399914024', '4399914026']"
1837202712,34.0184455,-118.2790729,,"['1837202709', '269633270']"
1837202714,34.0186865,-118.2788168,,"['1837202710', '4399914037']"
1837206576,34.0115871,-118.2799924,,"['1837206581', '1837206578']"
1837206577,34.0138286,-118.2809772,,"['1841849484', '6815813020', '269635684', '269635682']"
1837206578,34.0114119,-118.2799853,,"['1837206576', '21302785']"
1837206579,34.0118678,-118.2799145,,"['1837206582', '1837206581', '122670276']"
1837206580,34.0140126,-118.2824324,,"['7867091026', '6226313826']"
1837206581,34.0117373,-118.2799626,,"['1837206579', '1837206576']"
1837206582,34.0117422,-118.2800468,,"['1837206579', '7396914904']"
1837206588,34.0115909,-118.2785472,,"['2898445152', '1837206590']"
1837206589,34.0114886,-118.2783574,,"['1837206591', '122609799', '4015477523', '6503044367']"
1837206590,34.0115965,-118.2784947,,"['1837206588', '2898445153']"
1837206591,34.0115508,-118.278409,,"['2898445153', '1837206589']"
1837206592,34.0115075,-118.2786624,,"['1732243679', '21302795', '2898445152']"
1837212100,34.0176131,-118.2828478,,"['6820935907', '4015372458']"
1837212101,34.017304,-118.282788,,"['1837212103', '6820935911', '6813411588']"
1837212103,34.0173991,-118.2827283,,"['1837212101', '6813411589']"
1837212104,34.0181535,-118.2829919,,"['1837212107', '123112723', '4015405543']"
1837212107,34.0181055,-118.2829086,,"['1837212104', '2753199985']"
1837212926,34.0273195,-118.2671137,,"['6818460814', '122740027', '6818460812']"
1837323605,34.0267769,-118.2659747,,"['6818460818', '6818460812', '123302797']"
1838284627,34.0120803,-118.2727278,,"['1838284630', '1838284633']"
1838284628,34.0122025,-118.2727999,,"['1838284631', '1838284632']"
1838284629,34.0121614,-118.272676,,"['122634401', '1838284630']"
1838284630,34.0121333,-118.2726939,,"['1838284632', '1838284629', '1838284627']"
1838284631,34.0122781,-118.2728339,,"['122634398', '122901104', '1838284628']"
1838284632,34.0121672,-118.2727614,,"['1838284628', '1838284630']"
1838284633,34.0119843,-118.2727816,,"['1838284627', '122901104']"
1841016354,34.024542,-118.2979779,,"['6814958415', '6814958429']"
1841016355,34.0246037,-118.2981853,,"['6814958429', '6814958430']"
1841835270,34.0213554,-118.2787529,,"['2193435032', '4011837222', '214470792', '4015423959']"
1841835282,34.0224565,-118.2780958,,"['4400281388', '122855868', '4011837222', '4400281328']"
1841839982,34.0112337,-118.28066,,['6815812998']
1841839986,34.0112381,-118.2811445,,['5768963650']
1841849484,34.0136468,-118.2810214,,"['1837206577', '269635987']"
1841853526,34.0135396,-118.2808249,,"['354063321', '354063330']"
1841857543,34.0138773,-118.2806754,37th Street  Exposition Blvd,"['1841857545', '269635096', '5768963635']"
1841857545,34.0148611,-118.280491,,"['1841857543', '269635544']"
1841883210,34.0148735,-118.2812211,,"['5768963646', '269633667']"
1841883212,34.0140773,-118.281268,,"['269633667', '269633669']"
1842078005,34.0164051,-118.2958752,,"['2613073703', '2613073707']"
1842081671,34.0168128,-118.2915025,,"['4015372457', '4015372456', '4015372459']"
1849116058,34.0274019,-118.2859174,,"['213332111', '1849116074']"
1849116060,34.0263883,-118.2860416,,"['6229624525', '6047218633']"
1849116061,34.0272872,-118.2856253,,"['123258013', '6818390153']"
1849116062,34.0255846,-118.2867575,,"['1849116064', '1849116067', '6047234446']"
1849116063,34.0270818,-118.2857729,,"['6818390153', '1849116066']"
1849116064,34.0258157,-118.2865571,,"['6047218633', '1849116062']"
1849116065,34.027091,-118.285808,,"['6818390151', '1849116066']"
1849116066,34.0269339,-118.285796,,"['1849116065', '1849116063', '1849116072', '7591500906']"
1849116067,34.025374,-118.2869107,,"['1849116062', '6813379474']"
1849116068,34.0273355,-118.2858188,,"['1849116074', '1849116071']"
1849116069,34.0266489,-118.2858796,,"['1849116072', '6229624525']"
1849116071,34.0272973,-118.2858065,,"['1849116068', '6818390151']"
1849116072,34.026766,-118.2858263,,"['1849116066', '1849116069']"
1849116074,34.0273799,-118.2858591,,"['1849116058', '1849116068']"
1855120255,34.0165863,-118.2784238,,"['6790392169', '6790392176', '6820982886']"
1855137491,34.0125983,-118.2901179,,"['122684539', '123182692']"
1855143749,34.0110233,-118.2892246,,['1855143750']
1855143750,34.0110574,-118.2886483,,"['1862312572', '1855143749']"
1855143753,34.0110867,-118.2880562,,"['1855143755', '1862312572']"
1855143754,34.0110955,-118.2828819,,"['1855170217', '21302801']"
1855143755,34.0111111,-118.2875308,,"['1855173111', '1855143753']"
1855143756,34.0111248,-118.2872319,,"['1855173115', '1855173111', '1855173112', '122609812']"
1855143758,34.0111436,-118.2869213,,"['1855143759', '1855173112']"
1855143759,34.0111516,-118.2867314,,"['1855143760', '1855143758']"
1855143760,34.0111585,-118.2865457,,"['1855143763', '1855143759']"
1855143763,34.0111644,-118.2862591,,"['1855143760', '1855150054']"
1855143774,34.0111935,-118.2828842,,"['21302801', '1855150054']"
1855145671,34.0110389,-118.2869367,,"['1855173110', '1832241494']"
1855145672,34.0110542,-118.2865456,,"['1832241494', '1630944609']"
1855145673,34.0110595,-118.2861454,,"['1630944609', '4020099337']"
1855147948,34.0114725,-118.2872414,,"['123166179', '1855173115']"
1855150054,34.011183,-118.2848795,,"['1855143774', '1855143763']"
1855150081,34.0118247,-118.2827442,,"['1870797882', '1870795259', '1759017530']"
1855150091,34.0118511,-118.2899785,,"['933930930', '123182692']"
1855170217,34.0110935,-118.283296,,"['4020099337', '1855143754']"
1855173109,34.0110177,-118.2873531,,['122609812']
1855173110,34.0110302,-118.2871113,,"['122609812', '1855145671']"
1855173111,34.0111191,-118.2873562,,"['1855143756', '1855143755']"
1855173112,34.0111304,-118.2871171,,"['1855143758', '1855143756']"
1855173115,34.0111993,-118.2872342,,"['1855147948', '1855143756']"
1855173116,34.0118477,-118.2873622,,"['123166179', '1862312661']"
1862312572,34.0110732,-118.2883533,,"['1855143753', '1855143750']"
1862312582,34.0118502,-118.288367,,"['1862312636', '933930930']"
1862312636,34.0118515,-118.2883372,,"['1862312661', '1862312582']"
1862312661,34.0118514,-118.2883119,,"['1855173116', '1862312636']"
1866577831,34.0310466,-118.2646654,,"['21098546', '1738419621']"
1870783073,34.0128501,-118.2816106,,"['6815813001', '348122893']"
1870783149,34.0135728,-118.2815753,,"['1870787415', '6815813001']"
1870787389,34.0126531,-118.2827563,,"['1870795272', '1870795282']"
1870787415,34.0138405,-118.2815715,,"['269635717', '1870783149']"
1870795193,34.0112442,-118.2815801,,"['348123344', '122609808']"
1870795205,34.011264,-118.2827355,,"['21302801', '1870797882']"
1870795259,34.0121963,-118.2827496,,"['1855150081', '1870795261']"
1870795261,34.0123556,-118.282752,,"['1870795259', '1870795272']"
1870795272,34.0125178,-118.2827543,,"['1870795261', '1870787389']"
1870795282,34.0129886,-118.2827612,,"['1870787389', '4020099348']"
1870795287,34.013272,-118.2827653,,"['4020099348', '4060015480']"
1870795293,34.0136467,-118.2827805,,"['6814990128', '6814990112']"
1870797772,34.0111432,-118.2822603,,"['348123012', '5617976418']"
1870797882,34.0116544,-118.2827417,,"['1870795205', '1855150081']"
1873055916,34.0315877,-118.2656471,,"['72092213', '4012842278', '4011837240', '4060083399']"
1873055951,34.0303225,-118.268891,,"['3003074929', '1873056042']"
1873055980,34.0298773,-118.2681542,,"['3663661795', '123250775', '2611833622', '123161958']"
1873055988,34.031926,-118.2667819,,"['1778692851', '4012842279', '4012792183', '5680945543']"
1873056015,34.0301508,-118.2689288,,"['123161961', '3003074929']"
1873056042,34.0304305,-118.2688445,,"['1873055951', '2611833621']"
1873068892,34.0202309,-118.2792199,,"['269633240', '269633241']"
1878000349,34.02414,-118.2926086,,"['123706432', '4583263548']"
1878000351,34.0231145,-118.2915618,,"['6814958411', '6814958436', '4015203124', '4015203123']"
1878000364,34.0256165,-118.2948297,,"['2613117878', '6813405224']"
1924088248,34.0231476,-118.2763294,,"['6807934452', '1924088250']"
1924088250,34.0231564,-118.2764041,,"['1924088248', '123292098']"
1931345270,34.0229412,-118.2770105,,"['5555463656', '1614922636']"
1931345272,34.0229783,-118.2771115,,"['269637627', '1614922637']"
1932939400,34.0178342,-118.2788987,,"['269633046', '7249047942', '4732965439']"
2052181227,34.0171965,-118.2815708,,"['6820972453', '6820972452']"
2193435018,34.0259852,-118.275765,,"['63785502', '1378231765']"
2193435026,34.0244897,-118.2767273,,"['1378231752', '63785495']"
2193435032,34.0213154,-118.2786717,,"['1378231753', '1841835270']"
2193435037,34.0182233,-118.2901256,,"['601390380', '123112725']"
2193435039,34.0291645,-118.2735701,23rd Street,['4835549608']
2193435045,34.0273122,-118.2751002,,"['63785522', '4835549601']"
2193435046,34.0301521,-118.2729857,,"['1378231766', '63785537']"
